Execution_Id,Developer,LLM,Story_Points,Prompt_Iterations,Corrective_Prompts,Context_Prompts,Modified_Files,Validation_Detected,Manual_Corrections,Actual_Time_Min
86,Dev20,GPT-4o,2,24,5,5,4,17,36,65
87,Dev21,GPT-4o,2,22,5,5,4,16,36,72
88,Dev22,GPT-4o,1,22,5,5,3,16,33,20
89,Dev1,GPT-4o,2,22,5,5,3,16,33,56
90,Dev2,GPT-4o,5,28,5,5,5,22,42,145
91,Dev3,GPT-4o,3,22,5,5,4,18,36,101
92,Dev4,GPT-4o,1,20,5,5,3,15,30,20
93,Dev5,GPT-4o,3,22,5,5,4,17,36,58
94,Dev6,GPT-4o,1,20,5,5,5,15,30,16
95,Dev7,GPT-4o,2,20,5,5,4,17,33,75
96,Dev8,GPT-4o,8,30,6,6,4,22,45,257
97,Dev9,GPT-4o,2,20,5,5,3,15,33,65
98,Dev10,GPT-4o,1,20,5,5,5,15,33,27
99,Dev11,GPT-4o,1,20,5,5,4,15,30,31
100,Dev12,GPT-4o,6,32,5,6,5,21,45,177
101,Dev13,GPT-4o,3,24,5,5,4,17,39,97
102,Dev14,GPT-4o,3,24,5,5,3,19,36,102
103,Dev15,GPT-4o,2,20,5,6,4,16,30,47
104,Dev16,GPT-4o,3,24,5,5,4,17,36,74
105,Dev17,GPT-4o,5,28,5,5,4,19,42,144
106,Dev18,GPT-4o,2,22,5,6,3,16,36,57
107,Dev19,GPT-4o,3,22,5,5,3,18,33,104
108,Dev20,GPT-4o,3,22,5,5,4,19,36,61
109,Dev21,GPT-4o,1,22,5,5,4,15,30,22
110,Dev22,GPT-4o,1,20,5,5,3,16,30,14
111,Dev2,Gemini~2.5,1,20,5,5,3,16,30,53
112,Dev3,Gemini~2.5,4,22,5,5,3,18,36,99
113,Dev4,Gemini~2.5,24,72,16,21,8,38,75,289
114,Dev5,Gemini~2.5,8,32,5,6,4,23,42,210
115,Dev6,Gemini~2.5,1,20,5,5,3,15,30,18
116,Dev7,Gemini~2.5,5,26,5,5,5,20,39,126
117,Dev8,Gemini~2.5,9,36,5,6,5,24,51,162
118,Dev9,Gemini~2.5,2,20,5,5,3,16,33,84
119,Dev10,Gemini~2.5,1,20,5,5,3,15,30,46
120,Dev11,Gemini~2.5,1,20,5,5,4,15,33,40
121,Dev12,Gemini~2.5,3,24,5,5,4,17,33,112
122,Dev13,Gemini~2.5,2,22,5,5,4,17,33,89
123,Dev14,Gemini~2.5,2,20,5,8,4,15,33,79
124,Dev15,Gemini~2.5,2,20,5,5,4,16,36,44
125,Dev16,Gemini~2.5,1,20,5,6,3,16,33,48
126,Dev17,Gemini~2.5,2,22,5,5,5,15,33,92
127,Dev18,Gemini~2.5,3,24,5,5,4,17,39,129
128,Dev19,Gemini~2.5,1,20,5,5,4,15,30,34
129,Dev20,Gemini~2.5,5,28,5,6,4,19,39,93
130,Dev21,Gemini~2.5,3,24,5,5,4,17,36,108
131,Dev22,Gemini~2.5,1,20,5,6,4,15,30,32
132,Dev1,Gemini~2.5,2,20,5,8,4,16,36,76
133,Dev2,Gemini~2.5,3,24,5,5,3,18,36,55
134,Dev3,Gemini~2.5,2,20,5,5,3,15,33,65
135,Dev4,Gemini~2.5,2,22,5,3,5,16,33,37
136,Dev5,Gemini~2.5,4,24,6,5,4,20,39,78
137,Dev6,Gemini~2.5,1,20,5,5,5,16,30,17
138,Dev7,Gemini~2.5,3,24,5,5,4,18,36,114
139,Dev8,Gemini~2.5,1,22,5,5,3,16,30,20
140,Dev9,Gemini~2.5,1,20,5,5,3,15,30,37
141,Dev10,Gemini~2.5,1,20,5,5,4,16,30,15
142,Dev11,Gemini~2.5,2,22,5,5,3,17,33,62
143,Dev12,Gemini~2.5,2,20,5,5,4,16,33,36
144,Dev13,Gemini~2.5,1,22,5,5,3,15,30,26
145,Dev14,Gemini~2.5,3,24,5,5,4,17,36,92
146,Dev15,Gemini~2.5,2,20,5,5,4,17,36,81
147,Dev16,Gemini~2.5,1,20,5,6,3,15,30,32
148,Dev17,Gemini~2.5,3,22,5,5,3,19,36,93
149,Dev18,Gemini~2.5,5,26,5,5,3,20,42,102
150,Dev19,Gemini~2.5,2,20,5,6,4,16,36,85
151,Dev20,Gemini~2.5,2,22,5,5,3,17,33,46
152,Dev21,Gemini~2.5,1,20,5,5,3,15,30,21
153,Dev22,Gemini~2.5,3,24,5,6,4,17,39,122
154,Dev1,Gemini~2.5,4,24,5,5,3,19,39,175
155,Dev2,Gemini~2.5,1,20,5,5,4,15,30,18
156,Dev3,Gemini~2.5,5,30,5,8,4,21,45,106
157,Dev4,Gemini~2.5,1,20,5,5,4,16,33,32
158,Dev5,Gemini~2.5,2,22,5,5,3,16,33,64
159,Dev6,Gemini~2.5,3,24,5,8,2,18,36,113
160,Dev7,Gemini~2.5,2,20,5,5,4,17,36,62
161,Dev8,Gemini~2.5,2,22,5,5,3,16,33,41
162,Dev9,Gemini~2.5,1,22,5,5,3,16,33,37
163,Dev10,Gemini~2.5,4,26,5,5,4,20,39,92
164,Dev11,Gemini~2.5,2,22,5,5,3,16,36,59
165,Dev12,Gemini~2.5,1,20,5,5,3,15,30,29
166,Dev13,Gemini~2.5,3,22,5,5,4,18,33,104
167,Dev14,Gemini~2.5,4,24,5,5,5,20,39,146
168,Dev15,Gemini~2.5,4,22,5,5,3,20,42,160
169,Dev16,Gemini~2.5,5,28,5,6,4,21,42,224
170,Dev17,Gemini~2.5,3,22,5,5,4,17,36,75
171,Dev18,Gemini~2.5,3,22,5,5,3,17,36,70
172,Dev19,Gemini~2.5,1,20,5,5,4,15,30,18
173,Dev20,Gemini~2.5,8,38,6,6,5,25,51,178
174,Dev21,Gemini~2.5,13,52,9,12,8,34,63,620
175,Dev22,Gemini~2.5,8,38,6,6,6,23,51,330
176,Dev1,Gemini~2.5,4,24,5,5,3,20,39,175
177,Dev2,Gemini~2.5,4,24,5,3,3,18,39,82
178,Dev3,Gemini~2.5,2,22,5,5,3,15,33,65
179,Dev4,Gemini~2.5,3,24,5,6,4,18,36,64
180,Dev5,Gemini~2.5,2,20,5,5,4,16,30,56
181,Dev6,Gemini~2.5,3,22,5,6,4,17,36,120
182,Dev7,Gemini~2.5,5,26,5,5,5,19,39,207
183,Dev8,Gemini~2.5,10,42,6,9,6,29,57,233
184,Dev9,Gemini~2.5,1,20,5,5,4,15,30,23
185,Dev10,Gemini~2.5,2,22,5,5,3,15,33,40
186,Dev11,Gemini~2.5,10,44,7,9,7,28,60,274
187,Dev12,Gemini~2.5,3,24,5,5,4,18,36,60
188,Dev13,Gemini~2.5,1,20,5,5,3,15,30,30
189,Dev14,Gemini~2.5,2,22,5,5,3,16,36,84
190,Dev15,Gemini~2.5,2,20,5,5,4,15,33,77
191,Dev16,Gemini~2.5,1,20,5,5,4,15,30,27
192,Dev17,Gemini~2.5,1,22,5,6,3,15,30,30
193,Dev18,Gemini~2.5,1,20,5,5,4,15,30,19
194,Dev19,Gemini~2.5,2,22,5,5,5,17,33,101
195,Dev20,Gemini~2.5,4,26,5,5,4,19,42,117
196,Dev21,Gemini~2.5,2,20,5,5,4,18,36,81
197,Dev22,Gemini~2.5,2,20,5,6,4,16,33,48
198,Dev1,Gemini~2.5,1,20,5,5,3,16,30,74
199,Dev2,Gemini~2.5,2,22,5,5,3,16,33,39
200,Dev3,Gemini~2.5,5,28,5,5,5,20,39,120
201,Dev4,Gemini~2.5,3,24,5,5,4,18,39,72
202,Dev5,Gemini~2.5,1,20,5,6,3,16,30,38
203,Dev6,Gemini~2.5,3,24,5,5,4,18,33,106
204,Dev7,Gemini~2.5,1,24,5,8,4,16,30,20
205,Dev8,Gemini~2.5,2,22,5,5,3,17,33,43
206,Dev9,Gemini~2.5,8,30,6,5,4,23,45,134
207,Dev10,Gemini~2.5,2,20,5,5,4,17,33,76
208,Dev11,Gemini~2.5,1,20,5,6,5,16,30,55
209,Dev12,Gemini~2.5,1,20,5,5,4,15,30,16
210,Dev13,Gemini~2.5,6,30,5,6,5,22,45,151
211,Dev14,Gemini~2.5,3,24,5,5,4,17,36,69
212,Dev15,Gemini~2.5,3,22,5,5,3,18,36,61
213,Dev16,Gemini~2.5,2,22,5,5,4,17,33,73
214,Dev17,Gemini~2.5,3,22,5,8,4,17,39,98
215,Dev18,Gemini~2.5,5,30,5,5,4,19,42,217
216,Dev19,Gemini~2.5,2,22,5,5,3,17,33,41
217,Dev20,Gemini~2.5,3,22,5,5,3,17,39,113
218,Dev21,Gemini~2.5,3,24,5,6,4,17,36,104
219,Dev22,Gemini~2.5,1,20,5,5,4,16,33,25
220,Dev1,Gemini~2.5,1,20,5,5,3,16,30,22
221,Dev3,DeepSeek-R1,1,20,5,5,3,15,33,26
222,Dev4,DeepSeek-R1,4,22,5,5,3,16,39,75
223,Dev5,DeepSeek-R1,24,72,17,20,8,40,69,420
224,Dev6,DeepSeek-R1,8,32,5,6,4,21,48,150
225,Dev7,DeepSeek-R1,1,20,5,5,3,15,30,27
226,Dev8,DeepSeek-R1,5,26,5,5,5,20,42,219
227,Dev9,DeepSeek-R1,9,34,5,6,5,25,48,324
228,Dev10,DeepSeek-R1,2,20,5,5,2,17,33,36
229,Dev11,DeepSeek-R1,1,20,5,6,2,16,30,36
230,Dev12,DeepSeek-R1,1,20,5,5,3,15,30,17
231,Dev13,DeepSeek-R1,3,22,5,6,4,16,36,86
232,Dev14,DeepSeek-R1,2,20,5,5,3,17,36,41
233,Dev15,DeepSeek-R1,2,22,5,5,4,16,36,38
234,Dev16,DeepSeek-R1,2,22,5,5,4,16,33,98
235,Dev17,DeepSeek-R1,1,22,5,5,3,15,30,29
236,Dev18,DeepSeek-R1,2,22,5,5,4,17,36,64
237,Dev19,DeepSeek-R1,3,22,5,5,4,17,39,95
238,Dev20,DeepSeek-R1,1,20,5,5,4,16,33,33
239,Dev21,DeepSeek-R1,5,26,5,8,4,19,39,181
240,Dev22,DeepSeek-R1,3,24,5,5,4,18,36,86
241,Dev1,DeepSeek-R1,1,20,5,5,4,16,30,48
242,Dev2,DeepSeek-R1,2,20,5,5,4,16,33,82
243,Dev3,DeepSeek-R1,3,22,5,5,3,19,36,125
244,Dev4,DeepSeek-R1,2,22,5,5,3,16,36,84
245,Dev5,DeepSeek-R1,2,20,5,5,5,17,30,90
246,Dev6,DeepSeek-R1,4,24,5,6,4,18,39,169
247,Dev7,DeepSeek-R1,1,22,5,5,5,15,30,30
248,Dev8,DeepSeek-R1,3,24,5,5,4,18,36,97
249,Dev9,DeepSeek-R1,1,22,5,8,3,15,30,26
250,Dev10,DeepSeek-R1,1,20,5,5,3,15,33,32
251,Dev11,DeepSeek-R1,1,20,5,5,4,15,30,17
252,Dev12,DeepSeek-R1,2,22,5,5,3,15,30,35
253,Dev13,DeepSeek-R1,2,20,5,5,4,16,33,70
254,Dev14,DeepSeek-R1,1,22,5,5,3,15,33,25
255,Dev15,DeepSeek-R1,3,24,5,5,5,17,39,90
256,Dev16,DeepSeek-R1,2,22,5,5,4,16,33,67
257,Dev17,DeepSeek-R1,1,20,5,5,3,16,30,23
258,Dev18,DeepSeek-R1,3,22,5,8,3,16,39,122
259,Dev19,DeepSeek-R1,5,30,5,5,4,20,42,144
260,Dev20,DeepSeek-R1,2,22,5,5,4,16,36,44
261,Dev21,DeepSeek-R1,2,22,5,5,3,17,36,82
262,Dev22,DeepSeek-R1,1,20,5,6,3,16,30,30
263,Dev1,DeepSeek-R1,3,22,5,5,4,18,33,109
264,Dev2,DeepSeek-R1,4,24,5,8,4,19,39,120
265,Dev3,DeepSeek-R1,1,20,5,5,4,15,30,22
266,Dev4,DeepSeek-R1,5,30,5,5,4,19,42,226
267,Dev5,DeepSeek-R1,1,20,5,6,4,15,30,18
268,Dev6,DeepSeek-R1,2,22,5,5,3,16,30,69
269,Dev7,DeepSeek-R1,3,24,5,5,3,17,36,92
270,Dev8,DeepSeek-R1,2,22,5,5,4,17,33,77
271,Dev9,DeepSeek-R1,2,20,5,6,3,16,30,61
272,Dev10,DeepSeek-R1,1,20,5,5,3,16,30,59
273,Dev11,DeepSeek-R1,4,24,5,5,4,18,36,183
274,Dev12,DeepSeek-R1,2,20,5,6,3,16,33,56
275,Dev13,DeepSeek-R1,1,22,5,6,3,16,30,21
276,Dev14,DeepSeek-R1,3,22,5,5,4,16,39,67
277,Dev15,DeepSeek-R1,4,26,5,5,5,20,36,82
278,Dev16,DeepSeek-R1,4,24,5,5,3,18,36,82
279,Dev17,DeepSeek-R1,5,30,5,5,4,21,39,159
280,Dev18,DeepSeek-R1,3,22,5,5,4,17,36,118
281,Dev19,DeepSeek-R1,3,24,5,5,3,18,36,110
282,Dev20,DeepSeek-R1,1,20,5,5,4,15,30,50
283,Dev21,DeepSeek-R1,8,40,6,6,4,24,54,243
284,Dev22,DeepSeek-R1,13,58,10,12,8,31,63,374
285,Dev1,DeepSeek-R1,8,38,5,8,6,24,48,256
286,Dev2,DeepSeek-R1,4,26,5,6,3,19,39,113
287,Dev3,DeepSeek-R1,4,24,5,5,3,20,39,154
288,Dev4,DeepSeek-R1,2,20,5,5,3,15,33,64
289,Dev5,DeepSeek-R1,3,22,5,5,4,18,36,111
290,Dev6,DeepSeek-R1,2,22,5,5,4,17,33,81
291,Dev7,DeepSeek-R1,3,24,5,5,4,18,36,69
292,Dev8,DeepSeek-R1,5,30,5,5,5,21,42,146
293,Dev9,DeepSeek-R1,10,42,7,8,6,27,54,455
294,Dev10,DeepSeek-R1,1,20,5,5,4,15,33,39
295,Dev11,DeepSeek-R1,2,22,5,5,3,16,33,63
296,Dev12,DeepSeek-R1,10,46,7,8,7,27,57,452
297,Dev13,DeepSeek-R1,3,20,5,5,4,16,36,121
298,Dev14,DeepSeek-R1,1,20,5,6,3,15,33,48
299,Dev15,DeepSeek-R1,2,20,5,5,3,16,33,42
300,Dev16,DeepSeek-R1,2,20,5,5,4,17,33,42
301,Dev17,DeepSeek-R1,1,22,5,6,4,15,30,19
302,Dev18,DeepSeek-R1,1,20,5,5,3,15,30,22
303,Dev19,DeepSeek-R1,1,20,5,5,4,15,33,20
304,Dev20,DeepSeek-R1,2,20,5,5,4,18,30,62
305,Dev21,DeepSeek-R1,4,26,5,6,4,19,39,181
306,Dev22,DeepSeek-R1,2,22,5,5,4,16,33,44
307,Dev1,DeepSeek-R1,2,22,5,5,4,16,33,63
308,Dev2,DeepSeek-R1,1,20,5,5,3,17,33,29
309,Dev3,DeepSeek-R1,2,20,5,5,3,15,36,90
310,Dev4,DeepSeek-R1,5,30,5,5,5,22,39,248
311,Dev5,DeepSeek-R1,3,22,5,8,5,19,36,128
312,Dev6,DeepSeek-R1,1,22,5,5,3,15,30,35
313,Dev7,DeepSeek-R1,3,22,5,5,4,18,36,91
314,Dev8,DeepSeek-R1,1,20,5,6,4,15,30,24
315,Dev9,DeepSeek-R1,2,20,5,5,3,16,33,60
316,Dev10,DeepSeek-R1,8,34,5,9,4,22,45,162
317,Dev11,DeepSeek-R1,2,22,5,5,3,17,36,42
318,Dev12,DeepSeek-R1,1,20,5,8,4,16,30,21
319,Dev13,DeepSeek-R1,1,20,5,5,4,16,30,24
320,Dev14,DeepSeek-R1,6,34,5,5,5,22,45,268
321,Dev15,DeepSeek-R1,3,24,6,5,4,17,39,121
322,Dev16,DeepSeek-R1,3,22,5,8,3,18,39,116
323,Dev17,DeepSeek-R1,2,22,5,5,4,15,33,59
324,Dev18,DeepSeek-R1,3,22,5,6,4,16,33,105
325,Dev19,DeepSeek-R1,5,26,6,5,4,22,45,114
326,Dev20,DeepSeek-R1,2,22,5,5,3,16,33,71
327,Dev21,DeepSeek-R1,3,22,5,5,4,17,36,70
328,Dev22,DeepSeek-R1,3,24,5,8,4,18,39,104
329,Dev1,DeepSeek-R1,1,20,5,5,4,15,30,16
330,Dev2,DeepSeek-R1,1,20,5,5,3,15,30,26
